id,mm,name
682,1,Bomb2
683,1,Guts2
684,1,Guts3
685,1,Ice2
686,1,Wily1-3
687,10,Commando2
688,10,Endless3Alt2
689,10,Sheep2
690,11,Tundra2
691,11,TundraAlt
692,1,BombPU
693,1,Builder
694,1,Builder2
695,1,Builder3
696,1,Builder4
697,1,ChallengeAlt
698,1,Challenge
699,1,CutPU
700,1,ElecPU
701,1,FirePU
702,1,GutsPU
703,1,IcePU
722,1,Oil2
738,1,Time2
739,1,Time3
741,2,Crash2
742,2,Heat2
743,2,Metal2
744,2,Metal3
745,2,Wily1-3
746,3,Needle3
747,3,Snake2
748,3,Snake3
749,3,Wily1-4
750,3,Wily1-4Alt
751,3,Wily4-2
753,4,Bright4
754,4,Bright3
755,4,Cossack1-2Alt
756,4,Cossack1-3
757,4,Cossack1-3Alt
758,4,Cossack2-2
759,4,Cossack2-3
760,4,Cossack4-4
761,4,Cossack4-3
762,4,Dust
763,4,DustAlt
764,4,Dust3
765,4,Pharaoh4
766,4,Ring2
767,4,Ring4
768,4,Ring3
769,4,Toad2Alt
770,4,Toad3
771,4,Toad3Alt
772,4,Toad4
773,4,Toad4Alt
774,4,Wily1-2
775,4,Wily1-3
776,4,Wily2-2
777,4,Wily4-2
778,5,Charge4
779,5,Charge5
780,5,Charge2
781,5,Charge6
782,5,Charge6Alt
783,5,Dark1-3
784,5,Dark1-3Alt
785,5,Dark1-4
786,5,Dark1-2
787,5,Dark2-2
788,5,Dark2-3
789,5,Dark2-5
790,5,Dark2-6
791,5,Dark3-3
792,5,Dark3-4
793,5,Dark3-5
794,5,GyroAlt
795,5,GyroAlt2
796,5,GyroAlt3
797,5,Stone3
798,5,Stone4
799,5,StoneAlt
800,5,Wave2
801,5,Wily2-2
802,5,Wily3-2
803,6,Blizzard3
804,6,Centaur3
805,6,Centaur3Alt
806,6,MrX1-4
807,6,MrX1-5
808,6,MrX1-6
809,6,MrX1-3
810,6,MrX2-2
811,6,MrX2-4
812,6,MrX3-2
813,6,MrX4-2
815,6,Plant2
816,6,Plant3
817,6,Wily1-5
818,6,Wily1-5Alt
819,6,Wily1-6
820,6,Wily1-6Alt
821,6,Wily1
822,6,Wily1-3
823,6,Wily1-3Alt
824,6,Wily1-4
825,6,Wily1-4Alt
826,6,Wily2-2Alt
827,6,Wily3-2
828,6,Wind3
829,6,Wind2Alt
830,6,Yamato3
831,6,Yamato3Alt
832,6,Yamato2
833,6,Yamato2Alt
834,7,Cloud2
835,7,Freeze2
836,7,Intro
837,7,Wily2-2
838,7,Wily3-2
839,7,Wily3-4
840,7,Wily3-3
841,8,Intro2
842,8,Intro2Alt
843,8,SwordAlt
844,8,Wily3
845,8,Wily3-2
846,8,Wily3-2Alt
847,8,Wily4
848,9,Fake3
849,8,Intro
850,6,Wily2-2
851,5,Wily4-2
852,8,Astro2Alt2
853,1,Builder3Alt
